cycle,arm,target_rate,limit_x,time,object,message
1,frontcatalog,300,2026-08-29T14:22:04Z,adservice,New size: 4; reason: All metrics below target
1,frontcatalog,300,2026-08-29T14:22:34Z,adservice,New size: 3; reason: All metrics below target
1,frontcatalog,300,2026-08-29T14:23:21Z,recommendationservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:23:50Z,paymentservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:34Z,cartservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:34Z,checkoutservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:35Z,currencyservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:35Z,emailservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:35Z,frontend,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:35Z,paymentservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:24:36Z,shippingservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:25:04Z,adservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,300,2026-08-29T14:25:51Z,recommendationservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,300,2026-08-29T14:32:27Z,adservice,New size: 5; reason: All metrics below target
2,frontcatalog,300,2026-08-29T14:33:13Z,emailservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,300,2026-08-29T14:33:27Z,adservice,New size: 4; reason: All metrics below target
3,frontcatalog,300,2026-08-29T14:42:02Z,adservice,New size: 5; reason: All metrics below target
3,frontcatalog,300,2026-08-29T14:42:02Z,cartservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,300,2026-08-29T14:42:32Z,adservice,New size: 4; reason: All metrics below target
3,frontcatalog,300,2026-08-29T14:45:17Z,adservice,New size: 3; reason: All metrics below target
3,frontcatalog,300,2026-08-29T14:45:47Z,adservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,300,2026-08-29T14:46:02Z,adservice,New size: 7; reason: cpu container resource utilization (percentage of request) above target
