購入100_閲覧0,frontend-5bf5dcf9b7-d25vr,productcatalogservice,26150485,71323555,887470,889388,0.053,0.006,1
購入100_閲覧0,productcatalogservice-6d45db7f4-xf5t5,frontend,71201472,26083739,887019,885089,5.316,0.006,1
購入100_閲覧0,productcatalogservice-6d45db7f4-xf5t5,recommendationservice,75748043,3992951,176794,157746,0.039,0.006,1
購入100_閲覧0,recommendationservice-547fc69857-6r9tb,productcatalogservice,3988952,75667904,157578,176610,6.448,0.007,1
購入100_閲覧0,currencyservice-fddf8c7bc-s5hrj,frontend,15158752,7035585,177242,201238,6.072,0.008,1
購入100_閲覧0,frontend-5bf5dcf9b7-d25vr,currencyservice,7019905,15103791,200754,176811,0.226,0.008,1
購入100_閲覧0,cartservice-969c5668c-684l2,redis-cart,11569732,3733237,104098,100265,0.104,0.008,2
購入100_閲覧0,redis-cart-757565597c-jbnsc,cartservice,3699613,11465366,99308,103124,4.027,0.008,2
購入100_閲覧0,frontend-5bf5dcf9b7-d25vr,recommendationservice,5322880,7042175,105333,106861,0.514,0.011,1
購入100_閲覧0,recommendationservice-547fc69857-6r9tb,frontend,7031779,5303342,106459,104931,5.89,0.009,1
購入100_閲覧0,cartservice-969c5668c-684l2,frontend,3755673,5394083,99936,101015,6.216,0.008,1
購入100_閲覧0,frontend-5bf5dcf9b7-d25vr,cartservice,5374255,3731561,100539,99460,0.165,0.009,1
購入100_閲覧0,checkoutservice-685486cf97-jcj76,shippingservice,4340433,3344700,96289,97496,0.053,0.007,1
購入100_閲覧0,shippingservice-64f88757c5-27b4j,checkoutservice,3312802,4299601,96531,95333,6.145,0.008,1
購入100_閲覧0,checkoutservice-685486cf97-jcj76,frontend,3941452,3405741,50910,49960,6.489,0.008,1
購入100_閲覧0,frontend-5bf5dcf9b7-d25vr,checkoutservice,3394315,3894048,49786,50736,1.414,0.01,1
購入100_閲覧0,cartservice-969c5668c-684l2,checkoutservice,2813232,3393036,65225,66295,6.807,0.007,1
